,lectureName,price,lectureLink,thumbnail,level,lecturer,siteIdx,rating,contents,category,subCategory,type,language,totalDuration,numOfLectures
0,Thinking Reactively with RxJS,-1,https://egghead.io/courses/thinking-reactively-with-rxjs,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/447/thumb/EGH_ThinkingRxJs.png,0.0,Rares Matei,8,4.6,"Thinking Reactively with RxJS Course IntroUse reactive, RxJS based solutions for complex problemsBreak down a requirement into small problemsPipe events to numbers and maintain a running count using the scan operatorCreate safe and predictable observable abstractionsMaintain shared observable state using the scan and shareReplay operatorsUse the filter and pairwise operators to determine when to show and hide the spinnerBuild an observable from a simple english requirementExpose complex reactive code as simple function based APIsEncapsulate complex imperative logic in a simple observableExtend Your Reactive Logic in RxJS using Observable-like Proxies that Delay or Drop EventsUse RxJS combineLatest to Only Emit Notifications When Certain Events Have HappenedMaintain Self-resetting State in Your Observable Streams using the RxJS scan OperatorBuild an Event Combo Observable with RxJSUse RxJS exhaustMap to Wait for Open Combos to Finish Before Starting New OnesSimplify Usage of Your Reactive Service by Building an RxJS Operator to Manage It For YouExtend Promises by Adding Custom Behavior",web,other,on,en,62,17
1,Introduction to State Machines Using XState,-1,https://egghead.io/courses/introduction-to-state-machines-using-xstate,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/403/thumb/IntroxState_1000.png,1.0,Kyle Shevlin,8,4.6,Course Intro and OverviewEliminate Boolean Explosion by Enumerating StatesReplace Enumerated States with a State MachineUse an Interpreter to Instantiate a MachineUse XState Viz to Visually Develop and Test Your MachineAdd Actions to Transitions to Fire Side EffectsTrigger Actions When Entering and Exiting a XState StateReplace Inline Functions with String ShorthandsUse Internal Transitions in XState to Avoid State Exit and Re-EntrySend Events to the Machine with the XState Send Action CreatorTrack Infinite States with with XState ContextHow Action Order Affects Assigns to Context in a XState MachineUse Activities in XState to Run Ongoing Side EffectsConditionally Transition to States with Guards in XStateSimplify State Explosion in XState through Hierarchical StatesMultiple Simultaneous States with Parallel StatesRecall Previous States with XState History States NodesUse XState Null Events and Transient Transitions to Immediately Transition StatesDelay XState Events and TransitionsInvoking a Promise for Asynchronous State Transitions in XStateInvoke Callbacks to Send and Receive Events from a Parent XState MachineInvoke Child XState Machines from a Parent Machine,other,JavaScript,on,en,52,22
2,Fix Common Git Mistakes,-1,https://egghead.io/courses/fix-common-git-mistakes,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/401/thumb/GitMistakes_1000.png,0.0,Chris Achard,8,4.7,"Change a Commit Message that Hasn't Been Pushed YetAdd More Files and Changes to a Commit Before PushingRemove Files from Staging Before CommittingRemove Changes from a Commit Before PushingUse and Compare the Different git Reset Options: --hard, --soft, and --mixedRecover Local Changes from `git reset --hard` with `git reflog`Undo a Commit that has Already Been PushedPush a New Branch to github that Doesn't Exist Remotely YetCopy a Commit from One Branch to AnotherMove a Commit that was Committed on the Wrong BranchUse `git stash` to Save Local Changes While PullingExplore Old Commits with a Detached HEAD, and then RecoverFix a Pull Request that has a Merge ConflictCleanup and Delete Branches After a Pull RequestChange the Commit Message of a Previous Commit with Interactive Rebasegit Ignore a File that has Already been Committed and PushedAdd a File to a Previous Commit with Interactive RebaseFix Merge Conflicts While Changing Commits During an Interactive RebaseSquash Commits Before they are Pushed with Interactive RebaseCompletely Remove a File from Pushed git History",other,Git,on,en,44,20
3,"Web Security Essentials: MITM, CSRF, and XSS",-1,https://egghead.io/courses/web-security-essentials-mitm-csrf-and-xss,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/413/thumb/EGH_WebSecurity.png,0.0,Mike Sherov,8,4.6,Course Overview: Web Security EssentialsSimulate Man in the Middle Attacks and Inspect Network Traffic with Charles ProxyAdd https to a Localhost Express App to Prevent MITM AttacksRedirect All HTTP Traffic to HTTPS in Express to Ensure All Responses are SecureSet the Secure Cookie Flag to Ensure Cookies are Only Sent Over Secure ConnectionsAdd HSTS Headers to Express Apps to Ensure All Requests are https RequestsCreate a Proof of Concept Exploit of a CSRF Vulnerable WebsiteMitigate CSRF Attacks by Setting the SameSite Cookie Flag in ExpressAdd CSRF Token Middleware to an Express Server to Mitigate CSRFMake an XSS Payload to Read a Cookie from a Vulnerable Website Set the httpOnly Cookie Flag in Express to Ensure Cookies are Inaccessible from JavaScriptMake an XSS Payload to Read document.body from a Vulnerable WebsitePrevent Inline Script Execution by Implementing Script-Src CSP Headers in ExpressRead Document Content from a Vulnerable Website via Script Tag Injection in an XSS PayloadAdd a Nonce Based script-src Header in Express to Only Allow Scripts that Match the NoncePrompt Users for Credentials from a Vulnerable Website via iframe InjectionAdd a default-src CSP Header in Express to Enforce an Allowlist and Mitigate XSS,"web,network",Node.js,on,en,50,17
4,The Beginner's Guide to React,-1,https://egghead.io/courses/the-beginner-s-guide-to-react,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/160/thumb/EGH_BeginnersReact2.png,1.0,Kent C. Dodds,8,4.6,"A Beginners Guide to React IntroductionCreate a User Interface with Vanilla JavaScript and DOMCreate a User Interface with React’s createElement APICreate a User Interface with React’s JSX syntaxUse JSX effectively with ReactRender two elements side-by-side with React FragmentsCreate a Simple Reusable React ComponentValidate Custom React Component Props with PropTypesUnderstand and Use Interpolation in JSXRerender a React ApplicationStyle React Components with className and inline Styles
Use Event Handlers with React
Manage state in a React Component with the useState hook
Manage side-effects in a React Component with the useEffect hook
Use a lazy initializer with useStateManage the useEffect dependency arrayCreate reusable custom hooksManipulate the DOM with React refsUnderstand the React Hook FlowMake Basic Forms with ReactMake Dynamic Forms with ReactControlling Form Values with ReactUsing React Error Boundaries to handle errors in React ComponentsUse the key prop when Rendering a List with ReactLifting and colocating React StateMake HTTP Requests with ReactHandle HTTP Errors with ReactInstall and use React DevToolsBuild and deploy a React Application with Codesandbox, GitHub, and NetlifyA Beginners Guide to React Outro",web,React.js,on,en,147,30
5,Immutable JavaScript Data Structures with Immer,-1,https://egghead.io/courses/immutable-javascript-data-structures-with-immer,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/312/thumb/ImmuateableImmer_Final.png,0.0,Michel Weststrate,8,4.8,Introduction to the in-depth Immer courseCapture Application Logic in Pure Functions to Create Immutable StateSimplify Deep State Updates using Immer produceRender Immutable Data using ReactProfile React Rendering and Optimize with memo to Leverage Structural SharingSimplify Immer Producer Functions using CurryingProduces Immutable Data and Avoid Unnecessary Creation of New Data Trees with ImmerImmutable Update State inside React components with useImmerReturn Completely New State from an Immer ProducerAvoid Accidental Returns of New State by using the void KeywordWrite Asynchronous Producers in Immer and Why You Shouldn’tType Immutable Immer Data with TypeScriptUpdate Immutable State with React useReducer through ImmerCapture Patches to Distribute Changes in App State with Immer produceWithPatchesCreate a Simple WebSocket Server to Distribute Patches from ImmerApply Patches using Immer applyPatches to Synchronize State across ClientsCreate Stable Patches in Immer by updating with Id instead of IndicesCompress the Immer Patch History by Replaying Patches on a setIntervalUse Immer inversePatches to Build Undo FunctionalityUse Immer Patches to Build Redo Functionality,"algorithm,dataScience,computerScience","React.js,JavaScript",on,en,58,20
6,GraphQL Query Language,-1,https://egghead.io/courses/graphql-query-language,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/236/thumb/EGH_GraphQLQuery_Final.png,0.0,Eve Porcello,8,4.7,Send a Query with GraphQL PlaygroundQuery a List of Objects with GraphQLQuery an Enumeration Type with GraphQLSend a Nested GraphQL QueryFilter a GraphQL Query Result Using ArgumentsRenaming Fields with GraphQL AliasesUse Variables to Filter a Query Result with GraphQLQuery Connected Data with the GraphQL Query LanguageCreate Operation Names for GraphQL Queries Use an Input Type to Create an Account with a GraphQL Mutation Authenticate a User with a GraphQL MutationSend a checkOut Mutation with GraphQL as an Authorized UserChange Check In Status with a GraphQL MutationReuse GraphQL Selection Sets with FragmentsExplore Refactored GraphQL QueriesQuery GraphQL Interface Types in GraphQL PlaygroundQuery Lists of Multiple Types using a Union in GraphQLListen for Data Changes in Real-time with a GraphQL SubscriptionQuery a GraphQL API's Types With Introspection Queries,other,other,on,en,30,19
7,Advanced JavaScript Foundations,-1,https://egghead.io/courses/advanced-javascript-foundations,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/353/thumb/foundation.png,5.0,Tyler Clark,8,4.5,"Intro to Advanced JavaScript Foundations Working with Primitive TypesAutoboxing Primitive Types in JavaScriptUnderstanding Prototypal Inheritance within JavaScriptUnderstanding the difference between .prototype and .__proto__ in JavaScriptWorking with var, let, const, and block scopesImplicit Binding of the ""this"" KeywordArrow Functions and Lexical Scoping ""this""Explicit binding of the ""this"" keywordPrivate Variables with IIFEsUse Implicit and Explicit Coercion in JavaScriptDe-sugar an ES6 Class and the Extends Keyword  ES6 Class Constructors and the Super KeywordWorking with Static Properties on a ClassHow to use 'strict mode'WTF is a Closure? ",other,JavaScript,on,en,41,16
8,Write Your First Program with the Rust Language,-1,https://egghead.io/courses/write-your-first-program-with-the-rust-language,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/448/thumb/EGH_BuildaRustApp_Final.png,1.0,Pascal Precht,8,4.2,Install RustCompile and run a Rust program from scratchCreate a Rust package with the Cargo package managerCompile and run a Rust program using CargoVariables and Mutability in RustOutput multiple variables using println!() in RustWrite and call a function in RustUnderstanding basic Ownership and Borrowing in RustRead user input from stdin in RustHandle errors with unwrap() in RustHandle errors in Rust using expect()Handle errors in Rust using Pattern MatchingExit a program using std::process in RustCreate a loop in RustMake your Rust code more DRY,other,other,on,en,19,15
9,Designing GraphQL Schemas,-1,https://egghead.io/courses/designing-graphql-schemas-99db,https://d2eip9sf3oo6c2.cloudfront.net/series/square_covers/000/000/405/thumb/DesignGraphQLSchemas.png,0.0,Nik Graf,8,4.5,Course Intro for Designing GraphQL Schemas Setup an Apollo GraphQL Server with automatic Mocking Kicking off a GraphQL Schema Design ProcessNaming Conventions for Query Fields in GraphQLWhen and Why to use Nullable vs Non-nullable Fields in GraphQLEvolving a GraphQL Schema incl. Breaking Changes without affecting a Single UserNaming Conventions for Fields with GraphQL Aliases in MindPaginate Entries using the Connection SpecificationExtending GraphQL Connections with additional Fields and ArgumentsNaming top-level Query Fields in GraphQLMutation Input and Payload Structure in GraphQLDesign GraphQL Mutations by focusing on the Domain rather than the Data Model Optimising GraphQL Mutations for Static UsageGraphQL Mutations to update ConnectionsTradeoffs when designing GraphQL Mutations to update multiple Properties on one EntityCourse Outro for Designing GraphQL Schemas,other,other,on,en,56,16
