category,contents,language,lectureLink,lectureName,lecturer,level,numOfLectures,price,rating,siteIdx,subCategory,thumbnail,totalDuration,type
Programming - Programming Fundamentals,"PREFACE,What is Flutter,Dart 기초 다지기,PREFACE,What is Flutter,환경 구축하기,Dart 기초 다지기,Let's Toy Project - Part1,Let's Toy Project - Part2,맺음말,구름MEDIA 추천사,책 소개,Flutter?,크로스 플랫폼이란?,Hello, Flutter,구름MEDIA 추천사,책 소개,Flutter?,크로스 플랫폼이란?,Flutter vs React Native,Flutter로 만들어진 앱들,Flutter 개발을 위한 환경,Mac OS에서 환경 구축하기,Windows에서 환경 구축하기,Git 설치,Hello, Flutter,자료형,변수,조건문,반복문 (for),반복문 (for-in),조건문 (while),함수란?,객체로서의 함수,함수의 인자,주석,임포트,클래스,상속,추상 클래스,인터페이스,정리,무엇을 만들까요?,starter 프로젝트 가져오기,코드 분석,화면(UI) 구축 시작하기,상단 화면 개발,탭 화면 개발,Widget의 생명주기,리스트 화면 (일반) 개발,리스트 화면 (Grid) 개발,상세 화면 연결,상세 화면 개발,포스터와 간략 정보 화면 개발,줄거리 화면 개발,감독 및 출연진 정보 화면 개발,한줄평 화면 개발,댓글 입력 화면 개발,기타 마무리 작업,HTTP 알아보기,데이터 연동 준비,영화 목록 데이터 요청,팝업 항목 선택에 따른 영화 목록 호출,데이터를 가져오는 동안 로딩 화면 보여주기,정렬순서에 따라 데이터 호출하기,영화 상세 데이터 요청,영화 한줄평 데이터 요청,영화 한줄평 입력 요청,프로젝트를 마무리하며,맺음말",ko,https://edu.goorm.io/lecture/17450/파닥파닥-flutter-빠르고-가볍게-flutter-흔들기,파닥파닥 Flutter (빠르고 가볍게 Flutter 흔들기),padak padak,Easy,60,0,4.7,19,"Flutter, 플러터, iOS, Android, 모바일프로그래밍, 앱개발, 실습강좌",https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_BaQky_1576810789651/coverImage.png?_=1586830302691,unknown,on
Programming - Programming Fundamentals,"소개 & 환경설정,1. 자료형,소개 & 환경설정,1. 자료형,2. 연산자,3. 문자열 처리,4. 자료구조,5. 제어문,6. 함수,7. 입출력,8. 클래스,9. 예외처리,10. 모듈과 패키지,11. 끝,Intro,소개,환경설정,숫자 자료형,Intro,소개,환경설정,숫자 자료형,문자열 자료형,boolean 자료형,변수,주석,퀴즈 #1,연산자,간단한 수식,숫자 처리 함수,랜덤 함수,퀴즈 #2,문자열,슬라이싱,문자열 처리 함수,문자열 포맷,탈출 문자,퀴즈 #3,리스트,사전,튜플,세트,자료구조의 변경,퀴즈 #4,if,for,while,continue 와 break,한 줄 for,퀴즈 #5,함수,전달값과 반환값,기본값,키워드값,가변인자,지역변수와 전역변수,퀴즈 #6,표준 입출력,다양한 출력포맷,파일 입출력,pickle,with,퀴즈 #7,클래스,__init__,멤버변수,메소드,상속,다중상속,메소드 오버라이딩,pass,super,스타크래프트 프로젝트 전반전,스타크래프트 프로젝트 후반전,퀴즈 #8,예외처리,에러 발생시키기,사용자 정의 예외처리,finally,퀴즈 #9,모듈,패키지,__all__,모듈 직접 실행,패키지, 모듈 위치,pip install,내장 함수,외장 함수,퀴즈 #10,Outro",ko,https://edu.goorm.io/lecture/19917/무료-파이썬-기본편-6시간-뒤면-나도-개발자,무료 파이썬 기본편 - 6시간 뒤면 나도 개발자,나도코딩,Easy,76,0,4.9,19,"파이썬, python, 파이썬기초, 파이썬초보, 나도코딩",https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_FTeqU_1586646885588/coverImage.png?_=1587030858891,unknown,on
Programming - Mobile Programming,"Section0. 플러터 프론트엔드 반응형 앱 만들기,Section0. 플러터 프론트엔드 반응형 앱 만들기,Section1. 장고 백엔드 API 서버 만들기,Section2. 플러터와 API 연동하기,강의 소개,프로젝트 구조 설정 및 홈화면 만들기,퀴즈 모델 및 풀이 화면 만들기,강의 소개,프로젝트 구조 설정 및 홈화면 만들기,퀴즈 모델 및 풀이 화면 만들기,퀴즈 결과 화면 만들기,10분 만에 완료! Django Rest Framework 세팅 및 API 개발하기,10분 만에 완료! Django 프로젝트 Heroku에 배포하기,플러터에 API 연동하며 앱 마무리하기,마치며",ko,https://edu.goorm.io/lecture/20021/무작정-풀스택-플러터와-장고로-1시간-만에-퀴즈앱-서버-만들기,[무작정 풀스택] 플러터와 장고로 1시간 만에 퀴즈앱/서버 만들기,권태형,Easy,11,0,3.7,19,"flutter, 플러터, django, 장고, 풀스택, 모바일개발",https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_fdoaF_1586759985201/coverImage.png?_=1586760024922,unknown,on
Programming - Programming Fundamentals,"시작하기에 앞서,시작하기에 앞서,자바 프로그래밍 시작하기,메모리와 자료형,연산자,조건문/선택문,반복문,메소드,배열 기초,String,클래스와 객체,데이터 입출력,배열 심화,상속,다형성,Exception,강의의 방향,프로그래밍이란?,자바란?,실습 환경 구축 - 구름IDE,강의의 방향,프로그래밍이란?,자바란?,실습 환경 구축 - 구름IDE,자바 맛보기 - 반복문,자바 맛보기 - 조건문,학습 목표,JVM과 SDT,Garbage Collector,POP/OOP,콘솔 출력,구름IDE로 복습하기,정리,학습 목표,메모리란?,변수? 상수?,자료형 - 숫자 기본형,자료형 - 그 외 기본형,자료형 - 참조형,형변환,정리,학습 목표,연산자(Operator),대입연산자(=),산술연산자,복합대입연산자,비교연산자,전위/후위 연산자,논리연산자,비트/시프트 연산자,연산자 우선순위,심화: 오버플로와 언더플로,정리,학습 목표,if 문,else 문,else if 문,switch 문,정리,학습 목표,for 문,이중 for 문,while 문,do while 문,break / continue 문,정리,학습 목표,메소드의 기본,main 메소드,메소드 사용하기,오버로딩,심화: Call by Value,정리,학습 목표,배열의 선언,배열 사용하기,배열과 반복문,정리,학습 목표,배열과 String,Char 심화 이론: ASCII 코드,String 심화 이론,클래스와 String,정리,학습 목표,클래스와 객체,멤버(Member),생성자(Constructor),접근제한자,static에 대하여,정리,학습 목표,키보드 데이터 입력받기1,키보드 데이터 입력받기2,데이터를 파일로 출력하기,데이터를 파일에서 입력받기,String 활용하기,정리,학습 목표,2차원 배열,클래스 배열,정리,학습 목표,상속, 부모클래스와 자식클래스,오버라이딩,추상화 & 추상클래스,interface,정리,학습 목표,다형성이란?,상속과 다형성,정리,학습 목표,try-catch 문,Exception,정리,맺는 말",ko,https://edu.goorm.io/lecture/19448/한-눈에-읽는-자바-기초,한 눈에 읽는 자바 기초,구름,Easy,101,0,5.0,19,"자바, 자바프로그래밍, 자바기초, 자바기초프로그래밍, Java, Java기초",https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_hyaxe_1585878202025/coverImage.png?_=1585878215508,unknown,on
Programming - Programming Fundamentals,"강의 소개,강의 소개,행렬 / 함수,반복문 / 조건문,그래프 / 파일 읽기,강의 소개,강의 소개,리스트,행렬 연산,함수 제작,for,while,if,그래프 생성,텍스트 파일 처리",ko,https://edu.goorm.io/lecture/19064/matlab처럼-쓰는-python,MATLAB처럼 쓰는 PYTHON,박범진,Easy,10,0,0.0,19,"python, matlab, 파이썬기초, 매틀랩기초, 데이터시각화",https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_Apdxf_1584791632962/coverImage.png?_=1584948589189,unknown,on
Programming - Programming Fundamentals,"시작하기에 앞서,시작하기에 앞서,변수와 콘솔 출력 함수,기본적인 자료형과 연산자,문자열(String),리스트,딕셔너리(Dictionary),튜플(Tuple)과 집합(Set),반복문,조건문과 제어문,함수,파일 읽기/쓰기,클래스,모듈,예외처리,마무리,강의의 방향,프로그래밍이란?,파이썬이란?,실습 환경 구축 - 구름IDE,강의의 방향,프로그래밍이란?,파이썬이란?,실습 환경 구축 - 구름IDE,파이썬 맛보기 - 반복문,파이썬 맛보기 - 조건문,강의 목표,콘솔 출력의 기본,변수의 선언과 초기화,간단한 덧셈,정리,강의 목표,콘솔 입력의 기본,숫자형,간단한 콘솔 입력과 숫자형 실습,불(bool)형,수식연산자,할당연산자와 연산자 실습1,논리연산자,관계연산자,[심화] 비트연산자,연산자 실습2,정리,강의 목표,문자열 자료형,이스케이프 시퀀스,문자열 연산,인덱싱과 슬라이싱,문자열 포매팅1,문자열 포매팅2,문자열 함수,정리,강의 목표,값의 집합: 리스트,리스트 연산과 수정,리스트 함수,리스트의 심화 개념 : 값 할당,정리,강의 목표,딕셔너리 자료형,딕셔너리 함수,정리,강의 목표,변하지 않는 튜플,중복과 순서가 없는 집합,정리,강의 목표,반복문이란?,while 반복문,for 반복문,for문의 활용,정리,강의 목표,조건에 따른 실행과 흐름 분기,조건문의 활용,제어문,정리,강의 목표,함수의 역할1,함수의 역할2,함수의 사용 형태,매개변수,반환 값,전역변수와 지역변수,정리,강의 목표,파일과 파일입출력의 필요성,파일 열기/생성 및 쓰기,파일 읽기 및 내용 추가,정리,강의 목표,클래스(class)의 개념과 필요성,객체와 클래스 변수,인스턴스 변수와 메소드,생성자와 메소드,클래스 상속,클래스의 심화 개념,정리,강의 목표,모듈이란?,모듈 만들기1,모듈 만들기2,정리,강의 목표,예외처리란?,오류 예외처리하기,기타 오류처리,정리,강좌를 마무리하며",ko,https://edu.goorm.io/lecture/17902/한-눈에-읽는-파이썬3-기초,한 눈에 읽는 파이썬3 기초,구름,Easy,93,0,4.9,19,"파이썬, 파이썬프로그래밍, 파이썬기초, 파이썬강의, 파이썬기초강좌, 파이썬기초강의, 프로그래밍 강의, 프로그래밍 강좌, python기초, python강의",https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_pRaAr_1581916229919/coverImage.png?_=1582095282954,unknown,on
Programming - Programming Fundamentals,"COS PRO 2급 Python 1차,COS PRO 2급 Python 2차,COS PRO 2급 Python 3차,COS PRO 2급 Python 4차,COS PRO 2급 Python 5차,COS PRO 2급 Python 6차,[1차] 문제1) 단체 티셔츠를 주문하기 - Python3,[1차] 문제2) 쇼핑몰 등급별 할인 금액구하기 - Python3,[1차] 문제3) 시작 날짜와 끝 날짜의 사이 날짜구하기-Python3,[1차] 문제4) 등장하는 가장 많은 수와 적은수 구하기-Python3,[1차] 문제5) 배열의 순서 뒤집기 - Python3,[1차] 문제6) 369 게임 박수의 갯수 구하기 - Python3,[1차] 문제7) 영어 수강 대상자 수 구하기 - Python3,[1차] 문제8) 팰린드롬 판단하기 - Python3,[1차] 문제9) 중복문자 삭제하기 - Python3,[1차] 문제10) 평균 이하의 개수 구하기 - Python3,[2차] 문제1) 최대한 많은 쌍의 장갑 갯수 구하기 - Python3,[2차] 문제2) 더 많은 배수 구하기 - Python3,[2차] 문제3) 짝수들의 제곱의 합 구하기 - Python3,[2차] 문제4) 5글자 이상인 단어 배열하기 - Python3,[2차] 문제5) 몬스터 공격하기 - Python3,[2차] 문제6) 엘리베이터의 총 이동거리구하기 - Python3,[2차] 문제7) 섭씨, 화씨 온도 바꾸기 - Python3,[2차] 문제8) 소수의 갯수 구하기 - Python3,[2차] 문제9) 투표에 대한 후보 찾기 - Python3,[2차] 문제10) 상품권 총 지급액구하기 - Python3,[3차] 문제1) 학생의 등수 구하기 - Python3,[3차] 문제2) 장학생 수 구하기 - Python3,[3차] 문제3) 체조 선수의 점수 구해주기 - Python3,[3차] 문제4) 단어의 오타 수정하기 - Python3,[3차] 문제5) 여행객의 총 교통비 구하기 - Python3,[3차] 문제6) 타일 색칠 방법 구하기 - Python3,[3차] 문제7) 남은 재료로 주스 만들기 - Python3,[3차] 문제8) TV 애청자 A씨 - Python3,[3차] 문제9) 주차장에 몇대가 들어올수 있는 거야?-Python3,[3차] 문제10) 내 절반이 여기에 있는가? - Python3,[4차] 문제1) 상담 선생님은 너무 바빠요 - Python3,[4차] 문제2) 시험 합격자가 몇명이지? - Python3,[4차] 문제3) 획득 점수 구하기. 도박은 안되요. - Python3,[4차] 문제4) 조교의 수 구하기. - Python3,[4차] 문제5) A씨의 추가 운동 여부 알려주기 - Python3,[4차] 문제6) 열심히 모은 point, 돌려드립니다. - Python3,[4차] 문제7) 오른 점수와 떨어진 점수 구하기 - Python3,[4차] 문제8) 누가 반장이 될까요? - Python3,[4차] 문제9) 위험한 지역 몇개인지 알려주기 - Python3,[4차] 문제10) XX시험 합격자 수 구하기 - Python3,[5차] 문제1) 사다리 게임의 승리자를 구해주세요! - Python3,[5차] 문제2) 공강시간 구하기 - Python3,[5차] 문제3) 벌금 구하기! - Python3,[5차] 문제4) 선수가 획득한 점수를 구해주세요. - Python3,[5차] 문제5) n일장이 함께 열리는 날은 언제인가요. - Python3,[5차] 문제6) 이제 수학 시험에 모든 걸 건다. - Python3,[5차] 문제7) 계산시간을 구해주세요! - Python3,[5차] 문제8) 상수도 요금 구하기. - Python3,[5차] 문제9) 시험 등수 구하기. - Python3,[5차] 문제10) 가장 오래 일한 사람을 구해 주세요. - Python,[6차] 문제1) 저는 따뜻한 날이 좋아요. - Python3,[6차] 문제2) 종이 나누어 주기 - Python3,[6차] 문제3) 단체 유니폼 맞추기 - Python3,[6차] 문제4) 카드뽑기 게임! (도박은 안되요!) - Python3,[6차] 문제5) 음료수 마시기. - Python3,[6차] 문제6) 만드는것 보다 검사하는게 힘들죠. - Python3,[6차] 문제7) 의자와 책상을 사고싶어요. - Python3,[6차] 문제8) 주어진 수와 뒤집은 수의 차구하기 - Python3,[6차] 문제9) 난 양말색이 달라도 잘 신는 착한 어린이 - Python3,[6차] 문제10) 사과 박스 무게의 불량 검사 - Python3",ko,https://edu.goorm.io/lecture/17033/cos-pro-2급-기출문제-python,COS PRO 2급 기출문제 - Python,두잉창의코딩,Normal,60,0,4.9,19,"cos pro, ybm IT, python, 자격증",https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_aPlZg_1575074556037/coverImage.png?_=1578912470599,unknown,on
Programming - Programming Fundamentals,"COS PRO 2급 JAVA 1차,COS PRO 2급 JAVA 2차,COS PRO 2급 JAVA 3차,COS PRO 2급 JAVA 4차,COS PRO 2급 JAVA 5차,COS PRO 2급 JAVA 6차,[1차] 문제1) 단체 티셔츠를 주문하기 - JAVA,[1차] 문제2) 쇼핑몰 등급별 할인 금액구하기 - JAVA,[1차] 문제3) 시작 날짜와 끝 날짜의 사이 날짜구하기 - JAVA,[1차] 문제4) 등장하는 가장 많은수와 적은수 구하기 - JAVA,[1차] 문제5) 배열의 순서 뒤빚기 - JAVA,[1차] 문제6) 369 게임 박수의 갯수 구하기 - JAVA,[1차] 문제7) 영어 수강 대상자수 구하기 - JAVA,[1차] 문제8) 팰린드롬 판단하기 - JAVA,[1차] 문제9) 중복문자 삭제하기 - JAVA,[1차] 문제10) 평균 이하의 개수 구하기 - JAVA,[2차] 문제1) 최대한 많은 쌍의 장갑 갯수 구하기 - JAVA,[2차] 문제2) 더 많은 배수 구하기 - JAVA,[2차] 문제3) 짝수들의 제곱의 합 구하기 - JAVA,[2차] 문제4) 5글자 이상인 단어 배열하기 - JAVA,[2차] 문제5) 몬스터 공격하기 - JAVA,[2차] 문제6) 엘리베이터의 총 이동거리구하기 - JAVA,[2차] 문제7) 섭씨, 화씨 온도 바꾸기 - JAVA,[2차] 문제8) 팰린드롬 판단하기 - JAVA,[2차] 문제9) 중복문자 삭제하기 - JAVA,[2차] 문제10) 평균 이하의 개수 구하기 - JAVA,[3차] 문제1) 학생의 등수 구하기 - JAVA,[3차] 문제2) 장학생 수 구하기 - JAVA,[3차] 문제3) 체조 선수의 점수 구해주기 - JAVA,[3차] 문제4) 단어의 오타 수정하기 - JAVA,[3차] 문제5) 여행객의 총 교통비 구하기 - JAVA,[3차] 문제6) 타일 색칠 방법 구하기 - JAVA,[3차] 문제7) 남은 재료로 주스 만들기 - JAVA,[3차] 문제8) TV 애청자 A 씨 - JAVA,[3차] 문제9) 주차장에 몇대가 들어올수 있는거야? - JAVA,[3차] 문제10) 내 절반이 여기에 있는가? - JAVA,[4차] 문제1) 상담 선생님은 너무 바빠요 - JAVA,[4차] 문제2) 시험 합격자가 몇명이지? - JAVA,[4차] 문제3) 획득 점수 구하기. 도박은 안되요 - JAVA,[4차] 문제4) 조교의 수 구하기 - JAVA,[4차] 문제5) A씨의 추가 운동 여부 알려주기 - JAVA,[4차] 문제6) 열심히 모은 point, 돌려드립니다. - JAVA,[4차] 문제7) 오른 점수와 떨어진 점수 구하기 - JAVA,[4차] 문제8) 누가 반장이 될까요? - JAVA,[4차] 문제9) 위험한 지역 몇개인지 알려주기 - JAVA,[4차] 문제10) XX시험 합격자 수 구하기 - JAVA,[5차] 문제1) 사다리 게임의 승리자를 구해주세요! - JAVA,[5차] 문제2) 공강시간 구하기 - JAVA,[5차] 문제3) 벌금 구하기! - JAVA,[5차] 문제4) 선수가 획득한 점수를 구해주세요! - JAVA,[5차] 문제5) n일장이 함께 열리는 날은 언제인가요 - JAVA,[5차] 문제6) 이제 수학 시험에 모든 걸 건다 - JAVA,[5차] 문제7) 계산시간을 구해주세요! - JAVA,[5차] 문제8) 상수도 요금 구하기. - JAVA,[5차] 문제9) 시험 등수 구하기. - JAVA,[5차] 문제10) 가장 오래 일한 사람을 구해주세요. - JAVA,[6차] 문제1) 저는 따뜻한 날이 좋아요. JAVA,[6차] 문제2) 종이 나누어 주기 - JAVA,[6차] 문제3) 단체 유니폼 맞추기 - JAVA,[6차] 문제4) 카드뽑기 게임! (도박은 안되요!) - JAVA,[6차] 문제5) 음료수 마시기. - JAVA,[6차] 문제6) 만드는것 보다 검사하는게 힘들죠. - JAVA,[6차] 문제7) 의자와 책상을 사고 싶어요. - JAVA,[6차] 문제8) 주어진 수와 뒤집은 수의 차 구하기. - JAVA,[6차] 문제9) 난 양말색이 달라도 잘 신는 착한 어린이 - JAVA,[6차] 문제10) 사과 박스 무게의 불량 검사 - JAVA",ko,https://edu.goorm.io/lecture/17167/cos-pro-2급-기출문제-java,COS PRO 2급 기출문제 - Java,두잉창의코딩,Normal,60,0,1.0,19,"cos pro, java, ybm IT, 자격증",https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_lYtbk_1575522578427/coverImage.png?_=1578912451616,unknown,on
Programming - Programming Fundamentals,"COS PRO 2급 C++ 1차,COS PRO 2급 C++ 2차,COS PRO 2급 C++ 3차,COS PRO 2급 C++ 4차,COS PRO 2급 C++ 5차,COS PRO 2급 C++ 6차,[1차] 문제1) 단체 티셔츠를 주문하기 - C++,[1차] 문제2) 쇼핑몰 등급별 할인 금액구하기 - C++,[1차] 문제3) 시작 날짜와 끝 날짜의 사이 날짜구하기 - C++,[1차] 문제4) 등장하는 가장 많은 수와 적은수 구하기 - C++,[1차] 문제5) 배열의 순서 뒤집기 - C++,[1차] 문제6) 369 게임 박수의 갯수 구하기 - C++,[1차] 문제7) 영어 수강 대상자 수 구하기 - C++,[1차] 문제8) 팰린드롬 판단하기 - C++,[1차] 문제9) 중복문자 삭제하기 - C++,[1차] 문제10) 평균 이하의 개수 구하기 - C++,[2차] 문제1) 최대한 많은 쌍의 장갑 갯수 구하기 - C++,[2차] 문제2) 더 많은 배수 구하기 - C++,[2차] 문제3) 짝수들의 제곱의 합 구하기 - C++,[2차] 문제4) 5글자 이상인 단어 배열하기 - C++,[2차] 문제5) 몬스터 공격하기 - C++,[2차] 문제6) 엘리베이터의 총 이동거리구하기 - C++,[2차] 문제7) 섭씨, 화씨 온도 바꾸기 - C++,[2차] 문제8) 팰린드롬 판단하기 - C++,[2차] 문제9) 중복문자 삭제하기 - C++,[2차] 문제10) 평균 이하의 개수 구하기 - C++,[3차] 문제1) 학생의 등수 구하기 - C++,[3차] 문제2) 장학생 수 구하기 - C++,[3차] 문제3) 체조 선수의 점수 구해주기 - C++,[3차] 문제4) 단어의 오타 수정하기 - C++,[3차] 문제5) 여행객의 총 교통비 구하기 - C++,[3차] 문제6) 타일 색칠 방법 구하기 - C++,[3차] 문제7) 남은 재료로 주스 만들기 - C++,[3차] 문제8) TV 애청자 A 씨 - C++,[3차] 문제9) 주차장에 몇대가 들어올수 있는거야? - C++,[3차] 문제10) 내 절반이 여기에 있는가? - C++,[4차] 문제1) 상담 선생님은 너무 바빠요 - C++,[4차] 문제2) 시험 합격자가 몇명이지? - C++,[4차] 문제3) 획득 점수 구하기. 도박은 안되요 - C++,[4차] 문제4) 조교의 수 구하기 - C++,[4차] 문제5) A씨의 추가 운동 여부 알려주기 - C++,[4차] 문제6) 열심히 모은 point, 돌려드립니다. - C++,[4차] 문제7) 오른 점수와 떨어진 점수 구하기 - C++,[4차] 문제8) 누가 반장이 될까요? - C++,[4차] 문제9) 위험한 지역 몇개인지 알려주기 - C++,[4차] 문제10) XX시험 합격자 수 구하기 - C++ ,[5차] 문제1) 사다리 게임의 승리자를 구해주세요! - C++,[5차] 문제2) 공강시간 구하기 - C++,[5차] 문제3) 벌금 구하기! - C++,[5차] 문제4) 선수가 획득한 점수를 구해주세요 - C++,[5차] 문제5) n일장이 함께 열리는 날은 언제인가요. - C++,[5차] 문제6) 이제 수학 시험에 모든 걸 건다 - C++,[5차] 문제7) 계산시간을 구해주세요! - C++,[5차] 문제8) 상수도 요금 구하기. - C++,[5차] 문제9) 시험 등수 구하기. - C++,[5차] 문제10) 가장 오래 일한 사람을 구해 주세요. - C++,[6차] 문제1) 저는 따뜻한 날이 좋아요. - C++,[6차] 문제2) 종이 나누어 주기 - C++,[6차] 문제3) 단체 유니폼 맞추기 - C++,[6차] 문제4) 카드뽑기 게임! (도박은 안되요!) - C++,[6차] 문제5) 음료수 마시기. - C++,[6차] 문제6) 만드는것 보다 검사하는게 힘들죠. - C++,[6차] 문제7) 의자와 책상을 사고 싶어요. - C++,[6차] 문제8) 주어진 수와 뒤집은 수의 차 구하기 - C++,[6차] 문제9) 난 양말색이 달라도 잘 신는 착한 어린이 - C++,[6차] 문제10) 사과 박스 무게의 불량 검사 - C++",ko,https://edu.goorm.io/lecture/17165/cos-pro-2급-기출문제-c,COS PRO 2급 기출문제 - C++,두잉창의코딩,Normal,60,0,2.0,19,"cos pro, ybm IT, 자격증, C++",https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_bJpMC_1575522411683/coverImage.png?_=1578912460214,unknown,on
Programming - Programming Fundamentals,"COS PRO 2급 C언어 1차,COS PRO 2급 C언어 2차,COS PRO 2급 C언어 3차,COS PRO 2급 C언어 4차,COS PRO 2급 C언어 5차,COS PRO 2급 C언어 6차,[1차] 문제1) 단체 티셔츠 주문하기,[1차] 문제2) 쇼핑몰 등급별 할인 금액 구하기,[1차] 문제3) 시작 날짜와 끝 날짜의 사이 날짜구하기,[1차] 문제4) 등장하는 가장 많은 수와 적은수 구하기,[1차] 문제5) 배열의 순서 뒤집기,[1차] 문제6) 369 게임 박수의 갯수는?,[1차] 문제7) 영어 수강 대상자 수 구하기,[1차] 문제8) 팰린드롬 판단하기,[1차] 문제9) 중복문자 삭제하기,[1차] 문제10) 평균 이하의 개수 구하기,[2차] 문제1) 최대한 많은 쌍의 장갑 갯수 구하기,[2차] 문제2) 더 많은 배수 구하기,[2차] 문제3) 짝수들의 제곱의 합 구하기,[2차] 문제4) 5글자 이상인 단어 배열하기,[2차] 문제5) 몬스터 공격하기,[2차] 문제6) 엘리베이터의 총 이동거리구하기,[2차] 문제7) 섭씨, 화씨 온도 바꾸기,[2차] 문제8) 소수의 갯수 구하기,[2차] 문제9) 투표에 대한 후보 찾기,[2차] 문제10) 상품권 총 지급액구하기,[3차] 문제1) 학생의 등수 구하기,[3차] 문제2) 장학생 수 구하기,[3차] 문제3) 체조 선수의 점수 구해주기,[3차] 문제4) 단어의 오타 수정하기,[3차] 문제5) 여행객의 총 교통비 구하기,[3차] 문제6) 타일 색칠 방법 구하기,[3차] 문제7) 남은 재료로 주스 만들기,[3차] 문제8) TV 애청자 A씨,[3차] 문제9) 주차장에 몇대가 들어올수 있는거야?,[3차] 문제10) 내 절반이 여기에 있는가?,[4차] 문제1) 상담 선생님은 너무 바빠요,[4차] 문제2) 시험 합격자가 몇명이지?,[4차] 문제3) 획득 점수 구하기. 도박은 안되요.,[4차] 문제4) 조교의 수 구하기.,[4차] 문제5) 다이어트하는 A씨의 추가 운동 여부 알려주기,[4차] 문제6) 여러분이 열심히 모은 point, 돌려 드립니다.,[4차] 문제7) 오른 점수와 떨어진 점수 구하기,[4차] 문제8) 누가 반장이 될까요?,[4차] 문제9) 위험한 지역 몇개인지 알려주기,[4차] 문제10) XX시험 합격자 수 구하기,[5차] 문제1) 사다리 게임의 승자를 구해주세요!,[5차] 문제2) 공강시간 구하기,[5차] 문제3) 벌금을 세금내듯 내면 안되요. 벌금 구하기!,[5차] 문제4) 선수가 획득한 점수를 구해주세요. (feat.전투민족),[5차] 문제5) n일장이 함께 열리는 날은 언제인가요.,[5차] 문제6) 이제 수학 시험에 모든걸 건다. 평균 70을 위하여!,[5차] 문제7) 계산대 두개에서 계산시간을 구해주세요!,[5차] 문제8) 상수도 요금 구하기. (물을 아껴 씁시다.),[5차] 문제9) 시험 등수 구하기.,[5차] 문제10) 가장 오래 일한 사람을 구해주세요.,[6차] 문제1) 저는 따뜻한 날이 좋아요.,[6차] 문제2) 종이 나누어 주기 ,[6차] 문제3) 단체 유니폼 맞추기,[6차] 문제4) 카드뽑기 게임! (도박은 안되요!),[6차] 문제5) 음료수 마시기. (빈병으로 음료수를 사세요!),[6차] 문제6) 비밀번호는 만드는것 보다 검사하는게 힘들죠.,[6차] 문제7) 의자와 책상을 사고싶어요.,[6차] 문제8) 주어진 수와 뒤집은 수의 차 구하기,[6차] 문제9) 난 양말색이 달라도 잘 신는 착한 어린이,[6차] 문제10) 사과 박스 무게의 불량 검사",ko,https://edu.goorm.io/lecture/16921/cos-pro-2급-기출문제-c언어,COS PRO 2급 기출문제 - C언어,두잉창의코딩,Normal,60,0,5.0,19,"cos pro, ybm IT, C언어, 자격증",https://grm-project-template-bucket.s3.ap-northeast-2.amazonaws.com/lecture/lec_mzyhk_1573875034818/coverImage.png?_=1578912482042,unknown,on
