category,contents,language,lectureLink,lectureName,lecturer,level,numOfLectures,price,rating,siteIdx,subCategory,thumbnail,totalDuration,type
,"데이터 마이닝,기계 학습,인공신경망과 딥러닝,딥러닝 활용 사례,공정이상감지 적용 사례,추진배경 및 목적,MSA기반 플랫폼 설계,산업혁명의 단계,스마트팩토리의 정의,독립형 Edge 플랫폼,중국-중국제조 2025계획,설비 연계 문제점,CoreCode 솔루션,APS의 탄생과 발전,APS 솔루션 개념,도입 배경,머신 비전 시스템 정의,렌즈,2D 검사기능,용어 정리,전동기 예찌보전 기술의 필요성,전원 상태진단,전동기 상태진단,자동화 시스템의 개요,제어 시스템 구성요소,공장의 신경망인 네트워크 시스템,인간의 감각을 대신하는 센서,1,2,3,4차 산업혁명,PLM비전,Strategic R&D Framework,PMS 구축 배경,제조 빅데이터의 이해,제조 빅데이터 기반 생산 및 품질 상관분석의 변화,제조 데이터 분석 처리",ko,http://www.kocw.net/home/cview.do?cid=3c558096fb371059,스마트팩토리,"이준열, 조영환, 배경한, 유석규, 박성봉, 강도원, 박용운, 안용호, 황규순",,34,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1353031.jpg,unknown,on
,"교과목 개요, 교과목 내용, 강의 목표, 강의 방법, 평가, 과제, 교재/참고서, 강의 조교,정보/데이터 처리 시스템, 데이터베이스의 정의 및 특성, 데이터베이스의 개념적 구성요소, 데이터베이스의 구조 및 응용,데이터베이스 관리 시스템(DBMS), 데이터 독립성, 데이터베이스 시스템의 구성,관계 데이터 모델, 릴레이션의 개념, 릴레이션의 특성, 데이터베이스 키, Relational Query Languages, SQL 데이터 정의문,SQL 데이터 조작문,  Integrity Constraints,  Entity Integrity(개체 무결성),  Primary Keys in SQL, Referential Integrity(참조 무결성), Foreign Keys in SQL,관계 질의 언어, 관계 대수 연산,관계 질의 언어, 관계 대수 예,Basic SQL Query, Expressions and Strings, UNION, INTERSECT, MINUS,Nested Queries, Division in SQL, Set-Comparison Operators, Aggregate Operators, GROUP BY and HAVING, ORDER BY,Outer Joins, Views,System Catalog, 권한(Authorization), Embedded SQL, Integrity Constraints, Triggers,데이터와 현실 설계, 데이터 모델의 개념, 개체 타입과 관계 타입, ER 다이어그램, 제약 조건,데이터베이스 설계, 개념적 설계, 논리적 설계: ER to Relational, 논리적 설계: 제약 조건,스키마 설계와 변환, 함수 종속, (Functional,,Dependency), 정규화(Normalization),트랜잭션(transaction), 동시성 제어(concurrency control),회복(recovery), 데이터 마이닝, 연관 규칙, 협동적 필터링 에이전트, 기타 데이터베이스 용어",ko,http://www.kocw.net/home/cview.do?cid=e65f4835de00304b,데이터베이스설계,황병연,,16,0,2.5,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1352837.jpg,unknown,on
,"집합과 부분집합의 정의,집합과 집합 연산자,집합과 집합 연산자,정수의 속성,소수와 최대공약수 알고리즘,논리의 정의 및 논리 연산자,명제논리의 구문론과 의미론,항진명제와 추론규칙,예제를 통한 논리적 증명방법의 이해,수학적 귀납법,순열 및 조합,비둘기집 원리,재귀적 관계에 대한 일반식,곱집합과 관계의 정의,관계에 대한 속성,관계에 대한 속성의 예제,폐포와 전이성폐포를 위한 알고리즘,함수의 정의, 차수 및 복잡도,함수의 차수 및 복잡도,부분순서 관계와 디지털 논리 회로,트리의 정의 및 표현,트리 탐색: 노드의 방문순서,spanning tree,minimal spanning tree",ko,http://www.kocw.net/home/cview.do?cid=fa0c27f53039b79a,이산수학,노상욱,,24,0,4,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1352812.jpg,unknown,on
,"JavaFX 소개 및 개발 환경 구축,JavaFX 응용프로그램 생성하기
JavaFX 응용프로그램 라이프 사이클
Stage 클래스,Scene 객체, Layout,화면 리사이징, 얼라이닝,화면  스타일링,이벤트 처리 기초,이벤트 처리 고급,Scene Builder 이용한 화면 구성방법,Scene Builder 이용한 이벤트 처리,Label, TextField, PasswordField 사용법,TextArea 사용법,Button 사용법,CheckBox 사용법,RadioButton 사용법,ComboBox 사용법,ListView 사용법,TableView 사용법,TableView 사용법,TabPane 사용법,마우스 관련 이벤트 처리하기,키보드 관련 이벤트 처리하기,메뉴 구성 및 이벤트 처리,팝업 메뉴 구성 및 이벤트 처리,빌트인 대화상자 사용법,사용자 정의 대화상자 작성법,도형 및 문자열 그리기,이미지 확대 및 축소 방법,ImageView 사용법,이미지 저장 방법,이미지 픽셀 조작하기,이미지 픽셀 조작하기",ko,http://www.kocw.net/home/cview.do?cid=0ebfee974896843b,JavaFX 기반 GUI 프로그래밍,김병만,,31,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1352611.jpg,unknown,on
,"이벤트 예제 프로그래밍,Data Type 변환 예제,Linear 및 Constraint Layout 예제,TableLayout 예제,Resource 분리 예제,Splash Activity 예제,Image Resource 활용 예제,ImageView 예제 프로그래밍,Graphics 예제 프로그래밍,Graphics 응용 프로그래밍,Clicker 예제,Animation 예제 프로그래밍,Volley 활용 프로그래밍,텍스트 리스트 프로그래밍,RecyclerView 및 CardView 활용 예제,Nullable 사용 예제",ko,http://www.kocw.net/home/cview.do?cid=35eba11045e69755,안드로이드 예제 프로그래밍,오병우,,16,0,5,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1352357.jpg,unknown,on
,"유니티 소개 및 용어 설명,유니티 설치 방법 및 시작 프로젝트 작성,스크립트 개념과 사용 방법,콜리전과 트리거 개념 익히기,프리팸의 개념과 사용방법,스포닝의 개념과 사용방법,사용자 인터페이스 사용 방법,애니메이션 개념과 사용 방법,3차원 게임 작성 연습(1),3차원 게임 작성 연습(2),2차원 게임 작성 연습(1),2차원 게임 작성 연습(2),2차원 게임 작성 연습(3),사물인터넷과 아두니티 소개,LED 사용법과 센서 소개,조도센서 응용과 포텐셔미터 사용법 설명",ko,http://www.kocw.net/home/cview.do?cid=613da56abb09c5c7,사물인터넷과 유니티 활용,김시관,,16,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1352340.jpg,unknown,on
,"정보이론역사,정보송수신,BSC모델,경판정,연판정,해밍부호, 해밍중, 해밍 거리 오류검출, 오류 정정,최소거리,복호영역,완전부호,행밍구,생성행렬,표준배열,패리티검사행렬, 오류 신드롬,신드롬복호,확장부호,단축부호,채널코딩의 부호이득,싱글톤 한계식,해밍 한계식, 길버트한계식,순회부호 성질 및 순회부호 생성,순회부호의 생성행렬 및 생성 회로,순회부호의 다항식 나누기 회로,순회부호의 패리티 검사행렬 및 쌍대부호,단축순회부호,(23,12) 골레이부호, (24,12) 확장골레이부호,최우도 복호 및 선형블록부호의 격자도 표현,RM부호, 하다마다행렬, FHT",ko,http://www.kocw.net/home/cview.do?cid=699271ee1dce722f,선형블록부호,송영준,,16,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1352323.jpg,unknown,on
,"마이크로프로세서 기초 설명,마이크로프로세서 구성 요소 설명,마이크로프로세서 내부 동작 설명,ROM/RAM 동작 설명,플래시메모리 동작 설명,입출력장치 동작 및 인터럽트 설명,80x86 프로세서 특징 및 외부신호설명,80x86 내부 레지스터 및 구조설명,내부 주소발생 방식 설명,데이터전송 명령 설명,산술연산명령 설명,논리연산/Shift/Rotate 명령 설명,CMP/Jump 명령 설명,프로그램 예제 설명,프로세서-메모리 인터페이스 설명,80x86 프로세서 인터럽트 설명,메모리주소 디코딩과 I/O 명령어 설명,80x86 프로세서 프로텍트 모드 동작,AVR 프로세서 구조 설명,AVR 프로세서 동작 설명,AVR 명령어세트 설명,AVR 인터럽트 및 병렬포트 설명,AVR 매크로어셈블러 설명,AVR A/D 컨버터 및 SPI 설명,AVR 타이머/카운터 모드 설명,AVR 타이머/카운터 기본동작 설명,AVR 타이머/카운터 구조 설명,AVR 타이머/카운터 제어 설명,AVR USART 기본 동작 및 구조,AVR C 프로그래밍 기초 설명,AVR C 프로그래밍 응용 설명,고급 AVR C 프로그래밍 설명",ko,http://www.kocw.net/home/cview.do?cid=8d2c345128b2ae03,마이크로프로세서,장춘서,,32,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1352262.jpg,unknown,on
,"신경망의 개념, 퍼셉트론 알고리즘 구현하기 등,다층 퍼셉트론 모델 분석 및 구현하기 등,학습 및 추론, 손실함수, 가중치 갱신 등,인공신경망 학습 클래스 및 메소드 구ㅤㅎㅑㄴ하기 등,오류역전파 알고리즘 이해하기 및 구현 등,CUDA 연산 환경, 딥러닝 플랫폼 소개 및 설치,계산그래프, 플레이스홀더, 학습 API 등,기본 개념, 주요 모듈, 학습과정 관리 등,tf.keras, Sequential 클래스, tf.funtion 등,Tensor 연산, 주요 모델, Sequential & 함수 API,합성곱, 합성곱신경망, Lenet-5 구현 등,PyTorch-Hub, tf-keras 모듈 기반 전이학습 등,RNN, LSTM, GRU 이해 및 구현 등,자연어처리, 품사태깅, 감정분석, Attention 등,생성모델 이해, GAN의 이해와 구현 등,GAN의 주요 네트워크, DCGAN, cGAN, cGAN 활용 등",ko,http://www.kocw.net/home/cview.do?cid=0441ba8b9c1ce719,Tensorflow와 PyTorch로 딥러닝 배우기,김태형,,16,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1352211.jpg,unknown,on
,"Git 시스템 소개,GItLab 시스템 소개,Git Client의 설치와 실행방법, 둘러보기,로컬 저장소에 파일을 추가하는 방법 알아보기,Git 커밋을 만들고 원격 저장소에 반영하기 위한 방법 알아보기,원격 저장소의 내용을 가져오는 방법과 커밋 수정하는 방법 알아보기,Git 히스토리를 되돌리는 방법,Git 팀 프로젝트 설정하기,Git 팀 프로젝트를 위한 브랜치 관리방법 알아보기,Git 팀 프로젝트를 위한 이슈보드 시작하기,Git 이슈보드 이슈 시스템을 통한 팀 프로젝트 관리하기,Git 브랜치를 병합하는 방법 알아보기,Git 브랜치를 병합하는 방법 알아보기 #2,Git 브랜치 병합과정에서의 충돌상황 이해하기,Git 프로젝트 버전 릴리즈하기,Git 커맨드라인 인터페이스를 통한 활용 방법",ko,http://www.kocw.net/home/cview.do?cid=0867eeb6d1319329,Git 기반의 오픈소스 프로젝트 개발 실습,정진우,,16,0,0,15,,http://www.kocw.net/home/common/contents/thumbnail/07/t1352154.jpg,unknown,on
